food_id,food_name,food_type,meal_suitability,diet_type,ingredients,allergens,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,default_serving_g,min_serving_g,max_serving_g,vata_effect,pitta_effect,kapha_effect,agni_suitability,rasa,guna,virya,vipaka,best_for,avoid_or_limit_when
B001,Upma,Dish,Breakfast,Vegetarian,semolina|urad_dal|peanuts|ginger|green_chilies|curry_leaves|oil,peanuts,180,6,25,7,2,200,150,250,balancing,balancing,increases,Samagni|Tikshnagni,Madhura,Laghu,Ushna,Madhura,light_warm_breakfast,kapha_excess
B002,Idli,Dish,Breakfast,Vegan,rice|urad_dal|salt|water,None,146,4.5,28,1,2,200,150,250,balancing,balancing,moderate,Mandagni|Samagni,Madhura,Laghu,Sheeta,Madhura,easy_digest_soft,pitta_excess|excess_heat
B003,Dosa,Dish,Breakfast,Vegan,rice|urad_dal|salt|water|oil,None,168,4,29,4,2,200,150,300,balancing,increases,moderate,Samagni|Tikshnagni,Madhura,Laghu,Ushna,Madhura,crispy_warm_breakfast,kapha_excess|vata_excess
B004,Poha,Dish,Breakfast,Vegetarian,flattened_rice|potato|peas|onion|green_chilies|turmeric|oil,None,140,3,28,2,1.5,200,150,250,balancing,balancing,increases,Samagni,Madhura,Laghu,Ushna,Madhura,quick_warm_breakfast,kapha_excess
B005,Besan Chilla,Dish,Breakfast,Vegetarian,chickpea_flour|onion|green_chilies|salt|water|oil,None,190,8,18,9,2,180,150,220,balancing,balancing,moderate,Samagni|Tikshnagni,Madhura,Laghu,Ushna,Madhura,protein_breakfast,kapha_excess
B006,Oats Porridge,Dish,Breakfast,Vegetarian,oats|milk|banana|jaggery|ghee,gluten|milk,160,5,22,6,3,250,200,300,balancing,increases,increases,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,warming_nourishing,vata_excess|pitta_excess|kapha_excess
B007,Semolina Upma with Veggies,Dish,Breakfast,Vegetarian,semolina|carrot|peas|cucumber|oil|salt,None,175,5,26,6,2,200,150,250,balancing,balancing,increases,Samagni,Madhura,Laghu,Ushna,Madhura,light_warm_breakfast,kapha_excess
B008,Bajra Porridge,Dish,Breakfast,Vegan,bajra|water|salt|ginger,None,370,12,67,5,10,150,100,200,balancing,balancing,balancing,Samagni|Tikshnagni,Madhura,Laghu,Ushna,Madhura,warming_whole_grain,none
B009,Millet Khichdi,Dish,Breakfast,Vegan,millet|moong_dal|ghee|cumin|salt,None,155,5,28,3,3,200,150,250,balancing,balancing,moderate,Mandagni|Samagni,Madhura,Laghu,Ushna,Madhura,easy_digest_breakfast,none
B010,Paratha with Yogurt,Dish,Breakfast,Vegetarian,wheat_flour|ghee|salt|salt|yogurt,gluten|milk,270,8,38,10,2,250,200,300,increases,increases,increases,Tikshnagni,Madhura,Guru,Ushna,Madhura,heavy_warm_breakfast,vata_excess|pitta_excess|kapha_excess
